text,intent
Tắm nước nóng Hà Nội,search_activity
Nhiệt độ Phú Quốc trung bình,ask_weather_timing
Cho mình hỏi nhà nghỉ Nha Trang giá rẻ,search_accommodation
Mình muốn hỏi tour Đà Nẵng team building,search_travel
Mình muốn xe đạp đi Phú Quốc,ask_transportation
Làm ơn cho mình taxi ở Nha Trang giá rẻ,ask_transportation
Mình cần tìm đi bộ biển Đà Lạt,search_activity
Top địa điểm Huế,search_destination
Mình cần hải sản Hà Nội tươi ngon,search_food_dining
Tàu hỏa Huế bao nhiêu tiền,ask_transportation
Thời gian lý tưởng đi Vũng Tàu,ask_weather_timing
Ngắm hoàng hôn Hội An,search_activity
Resort Đà Lạt 5 sao,search_accommodation
Đặt tour Vũng Tàu cho đoàn,book_tour
Đi bộ biển Mũi Né,search_activity
Đặt phòng khách sạn Đà Lạt,book_tour
Hội An ở đâu,search_destination
Mũi Né có quán nào nổi tiếng,search_food_dining
Mình muốn Phú Quốc nổi tiếng về gì,search_destination
Bạn ơi đặc sản Sa Pa phải thử,search_food_dining
Ẩm thực Hội An món gì đặc sản,search_food_dining
Combo Phú Quốc trọn gói,search_travel
Bạn ơi thời tiết Huế tháng 12,ask_weather_timing
Tôi muốn đưa con đi Phú Quốc,inform
Các hãng bay đến Vũng Tàu,ask_transportation
Mình cần hải sản Sa Pa tươi ngon,search_food_dining
Cho mình tour du lịch Đà Lạt giá rẻ,search_travel
Mình muốn hỏi hải sản Phú Quốc tươi ngon,search_food_dining
Tìm giúp vẻ đẹp Sa Pa,search_destination
Cho mình hỏi chia sẻ kinh nghiệm Đà Nẵng,search_destination
Đi thác Đà Nẵng tham quan,search_activity
Mình muốn hỏi cả nhà tôi đi Huế dịp tết,inform
Tôi muốn đưa con đi Mũi Né,inform
Có đi thác Đà Nẵng tham quan,search_activity
Có hải sản Phú Quốc tươi ngon,search_food_dining
Làm ơn cho mình du lịch Đà Nẵng tự túc,search_travel
Em muốn tắm nước nóng Đà Lạt,search_activity
Cho mình hỏi bố mẹ tôi thích Nha Trang,inform
Đi bộ biển Đà Lạt,search_activity
Tour Vũng Tàu cho cặp đôi,search_travel
Resort Mũi Né gia đình,search_accommodation
Nhờ bạn Sa Pa ăn gì cho bữa sáng,search_food_dining
Gợi ý tour Nha Trang 2 ngày,ask_itinerary
Giúp mình hải sản Sa Pa giá rẻ,search_food_dining
Có lịch trình Mũi Né tự túc,ask_itinerary
Mình cần đi Mũi Né bằng xe máy,ask_transportation
Có ở Phú Quốc 4 ngày đi đâu,ask_itinerary
Tiền ăn ở Hội An 1 ngày,search_price
Du lịch Nha Trang mùa đông,search_travel
Món việt Nha Trang ngon,search_food_dining
Tôi nghe nói Đà Nẵng rất đẹp,inform
Mình cần công ty tôi tổ chức team building ở Mũi Né,inform
Đi phượt Sa Pa bằng xe máy,search_activity
Cho mình nhiệt độ Nha Trang trung bình,ask_weather_timing
Nha Trang ăn gì cho bữa sáng,search_food_dining
Tour Phú Quốc giá học sinh,search_travel
Phiền bạn khách sạn Hà Nội giá rẻ,search_accommodation
Có lịch trình Phú Quốc cho gia đình,ask_itinerary
Cả nhà tôi đi Nha Trang dịp tết,inform
Có nhiệt độ Sa Pa trung bình,ask_weather_timing
Mình cần buffet Hội An giá rẻ,search_food_dining
Mình muốn thời tiết Huế tháng 12,ask_weather_timing
Kế hoạch du lịch Huế,ask_itinerary
Ở Phú Quốc 4 ngày đi đâu,ask_itinerary
Em muốn bạn tôi gợi ý đi Mũi Né,inform
Cho mình hỏi combo Phú Quốc trọn gói,search_travel
Cảnh đẹp Đà Nẵng nổi tiếng,search_destination
Làm ơn cho mình từ Hà Nội đi Phú Quốc bằng gì,ask_transportation
Có gì đẹp ở Hội An,search_destination
Admin ơi booking tour Nha Trang giá tốt,search_travel
Hải sản Hà Nội tươi ngon,search_food_dining
Giúp mình đi thuyền Vũng Tàu,search_activity
Tìm giúp công ty tôi tổ chức team building ở Mũi Né,inform
Check in Đà Nẵng ở đâu,search_destination
Cho mình hỏi tour Sa Pa vip 5 sao,search_travel
Bạn ơi tour Vũng Tàu giá học sinh,search_travel
Có đi Nha Trang tham quan gì,search_destination
Giúp mình booking tour Đà Lạt giá rẻ,book_tour
Bạn ơi book phòng Đà Lạt view biển,book_tour
Cho mình hỏi ngắm hoàng hôn Hội An,search_activity
Booking tour Vũng Tàu giá rẻ,book_tour
Mình cần tôi nghe nói Sa Pa rất đẹp,inform
Em muốn đặt tour Đà Nẵng tiết kiệm,book_tour
Phiền bạn khám phá ẩm thực đường phố Hội An,search_activity
Làm ơn cho mình check in Huế ở đâu,search_destination
Bạn ơi kỳ nghỉ Hà Nội,search_travel
Admin ơi nhà nghỉ Sa Pa giá rẻ,search_accommodation
Admin ơi kỳ nghỉ Hà Nội,search_travel
Cho mình hỏi Đà Nẵng ăn gì cho bữa sáng,search_food_dining
Đi chợ Hội An về đêm,search_activity
Mình cần tìm tour Huế cho cặp đôi,search_travel
Phiền bạn booking tour Nha Trang giá tốt,search_travel
Em muốn đặt vé máy bay đi Sa Pa,book_tour
Giúp mình tour Sa Pa trọn gói bao gồm,search_travel
Tôi ở Phú Quốc rồi muốn đi tiếp,inform
Bài viết về Đà Nẵng,search_destination
Mình muốn khám phá Hà Nội,search_destination
Ăn tối trên du thuyền Mũi Né,search_activity
Nhờ bạn hải sản Sa Pa giá rẻ,search_food_dining
Cho mình hỏi đặt tour Hội An khuyến mãi,book_tour
Đi Sa Pa bằng tàu cao tốc,ask_transportation
Mình muốn hỏi đi Huế bao nhiêu ngày,ask_itinerary
Cả nhà tôi đi Huế dịp tết,inform
Cho mình hỏi đi Nha Trang tham quan gì,search_destination
Cho mình hỏi đi Mũi Né bằng xe máy,ask_transportation
Đặt tour Đà Nẵng tiết kiệm,book_tour
Mình muốn tôi muốn đưa con đi Vũng Tàu,inform
Cho mình tour Hội An nghỉ dưỡng,search_travel
Nhờ bạn tour du lịch Đà Nẵng giá rẻ,search_travel
Tôi muốn tìm hiểu về Vũng Tàu,inform
Mình muốn hỏi đặc sản Sa Pa phải thử,search_food_dining
Có check in Huế ở đâu,search_destination
Làm ơn cho mình tour Đà Nẵng cho người già,search_travel
Mình muốn giá vé tham quan Sa Pa,search_price
Booking tour Đà Nẵng giá rẻ,book_tour
Mình cần tiền ăn ở Hội An 1 ngày,search_price
Có du lịch Đà Nẵng tự túc,search_travel
Mình cần tìm từ Hà Nội đi Phú Quốc bằng gì,ask_transportation
