id,session_id,raw_text,predicted_intent,text_hash,cleaned_text
1,trend_user_0,có tour chữa lành nào đi Tà Năng khoảng 5 ngày không,search_travel,abf2253afd3c03bd4db0f633f1322c7f,có tour chữa lành nào đi Tà Năng khoảng 5 ngày không
2,trend_user_1,mình muốn tìm bãi cắm trại staycation gần Trị An đi 4 ngày,search_price,59ff1fff016ecb035c0145520c98025d,mình muốn tìm bãi cắm trại staycation gần Trị An đi 4 ngày
3,trend_user_2,ở Trị An có khu glamping nào view đẹp không,ask_tour_info,24b820d31ce077e68ad9e02ab1ba991e,ở Trị An có khu glamping nào view đẹp không
4,trend_user_3,mình cần tìm nơi yên tĩnh để nghỉ dưỡng chữa lành tại Trị An,search_activity,b7864f7e875d293e89539d2d15ab6cbc,mình cần tìm nơi yên tĩnh để nghỉ dưỡng chữa lành tại Trị An
5,trend_user_4,chi phí đi trekking băng rừng ở Tà Năng cho nhóm 7 người,ask_tour_info,d65660bbdb4bcf36866ccca3c69939da,chi phí đi trekking băng rừng ở Tà Năng cho nhóm 7 người
6,trend_user_5,resort ở Phú Quý có cho mang theo chó mèo thú cưng không,search_travel,1921d873cd6bb1e21a9b2061e15e812e,resort ở Phú Quý có cho mang theo chó mèo thú cưng không
7,trend_user_6,review đi săn mây ở Hà Giang 3 ngày 2 đêm,search_price,ebd58009f63d00bc7488fdce326abc07,review đi săn mây ở Hà Giang 3 ngày 2 đêm
8,trend_user_7,tư vấn lịch trình đi Hà Giang tự túc 3 ngày,search_travel,cfae792e4faef669dde45b2a9761850f,tư vấn lịch trình đi Hà Giang tự túc 3 ngày
9,trend_user_8,chi phí đi trekking băng rừng ở Tà Năng cho nhóm 14 người,search_activity,6750179f8b016a93d9f379783b68c78c,chi phí đi trekking băng rừng ở Tà Năng cho nhóm 14 người
10,trend_user_9,review đi săn mây ở Phú Quý 2 ngày 1 đêm,ask_tour_info,4207ac63c32087150496381ebfe31821,review đi săn mây ở Phú Quý 2 ngày 1 đêm
11,trend_user_10,mình muốn tìm bãi cắm trại staycation gần Trị An đi 3 ngày,search_activity,bbf86dff1570a67004ad5b6c19183a06,mình muốn tìm bãi cắm trại staycation gần Trị An đi 3 ngày
12,trend_user_11,resort ở Hà Giang có cho mang theo chó mèo thú cưng không,search_activity,b17038cf4d4a89a9d83d6a45804fdb8f,resort ở Hà Giang có cho mang theo chó mèo thú cưng không
13,trend_user_12,chi phí đi trekking băng rừng ở Măng Đen cho nhóm 13 người,search_activity,1da21a7194c9a56a692f87779344f02b,chi phí đi trekking băng rừng ở Măng Đen cho nhóm 13 người
14,trend_user_13,review đi săn mây ở Trị An 4 ngày 3 đêm,search_travel,105cc889f62b52d38a994ca3019a3fe0,review đi săn mây ở Trị An 4 ngày 3 đêm
15,trend_user_14,người lớn tuổi ngồi xe lăn có đi tour Trị An 2 ngày được không,search_price,8cfedc9f3650e6270a27e266af8e46f5,người lớn tuổi ngồi xe lăn có đi tour Trị An 2 ngày được không
16,trend_user_15,resort ở Tà Xùa có cho mang theo chó mèo thú cưng không,search_price,16908b15f2d59ef9c5357d91a2fcfaf9,resort ở Tà Xùa có cho mang theo chó mèo thú cưng không
18,trend_user_17,tư vấn lịch trình đi Trị An tự túc 3 ngày,search_price,abb2a6e26c8894e703f21ca0c9fd9246,tư vấn lịch trình đi Trị An tự túc 3 ngày
19,trend_user_18,chi phí đi trekking băng rừng ở Măng Đen cho nhóm 8 người,search_travel,10dbcae9db64a5f589e61a7f54956744,chi phí đi trekking băng rừng ở Măng Đen cho nhóm 8 người
20,trend_user_19,mình muốn tìm bãi cắm trại staycation gần Phú Quý đi 4 ngày,search_price,950f2744d94595bd706205da4487a0b5,mình muốn tìm bãi cắm trại staycation gần Phú Quý đi 4 ngày
21,trend_user_20,nhóm mình 15 người lớn 4 trẻ em đi Tà Xùa thì phụ thu sao,search_activity,6af327d8328905ebdae56035401ba934,nhóm mình 15 người lớn 4 trẻ em đi Tà Xùa thì phụ thu sao
