session_id,raw_text,predicted_intent,confidence_score,destination,parsed_budget,no_results_flag,timestamp,segment_label
drift_33172_733,gợi ý lịch trình Hội An 4 ngày 4 đêm,ask_itinerary,0.989,Hội An,20000000.0,0,2026-04-28 16:27:49.457421,reference
drift_55011_502,giá tour này bao nhiêu tư vấn với,search_price,0.96,,,0,2026-04-28 16:49:27.079449,reference
drift_44999_751,có nhà nghỉ nào ở Đà Lạt không nhé,search_accommodation,0.976,Đà Lạt,,0,2026-04-28 17:11:04.701476,reference
drift_36414_552,du lịch tiết kiệm,search_price,0.855,,,0,2026-04-28 17:32:42.323504,reference
drift_24457_619,đi dù lượn ở đâu,search_activity,0.868,,,0,2026-04-28 17:54:19.945531,reference
drift_59189_432,Huế mùa nào đẹp nhất,ask_location_feature,0.979,Huế,,0,2026-04-28 18:15:57.567559,reference
drift_30423_593,tìm homestay giá rẻ Huế,search_accommodation,0.923,Huế,3000000.0,0,2026-04-28 18:37:35.189586,reference
drift_21673_347,muốn trekking ở Hà Giang,search_activity,0.906,Hà Giang,,0,2026-04-28 18:59:12.811614,reference
drift_28534_764,tìm chỗ chèo thuyền,search_activity,0.944,,,0,2026-04-28 19:20:50.433641,reference
drift_99451_508,thời tiết hôm nay thế nào gấp ạ,out_of_scope,0.87,,,0,2026-04-28 19:42:28.055669,reference
drift_80987_514,có quán nào ngon ở Đà Lạt,search_food_dining,0.882,Đà Lạt,,0,2026-04-28 20:04:05.677696,reference
drift_48114_311,đồ ăn Phú Quốc thế nào,search_food_dining,0.925,Phú Quốc,,0,2026-04-28 20:25:43.299724,reference
drift_34395_640,tìm tour Hội An 3 ngày 1 đêm bot ơi,search_travel,0.891,Hội An,20000000.0,0,2026-04-28 20:47:20.921751,reference
drift_75503_860,tháng 3 đi đâu đẹp tư vấn với,search_destination,0.984,,,0,2026-04-28 21:08:58.543779,reference
drift_31614_917,được,affirm,0.989,,,0,2026-04-28 21:30:36.165806,reference
drift_17413_444,tháng 3,inform,0.884,,20000000.0,0,2026-04-28 21:52:13.787834,reference
drift_14370_655,đi Hà Nội bằng gì gấp ạ,ask_transportation,0.953,Hà Nội,,0,2026-04-28 22:13:51.409862,reference
drift_72388_849,đạp xe,inform,0.895,,,0,2026-04-28 22:35:29.031889,reference
drift_73844_950,bye tư vấn với,goodbye,0.939,,,0,2026-04-28 22:57:06.653917,reference
drift_43995_394,muốn lặn san hô ở Đà Lạt,search_activity,0.906,Đà Lạt,,0,2026-04-28 23:18:44.275944,reference
drift_24473_768,chèo thuyền,inform,0.942,,5000000.0,0,2026-04-28 23:40:21.897972,reference
drift_20065_467,có nhà nghỉ nào ở Huế không,search_accommodation,0.971,Huế,10000000.0,0,2026-04-29 00:01:59.519999,reference
drift_85579_19,đi Huế chi phí thế nào,search_travel,0.879,Huế,10000000.0,0,2026-04-29 00:23:37.142027,reference
drift_55076_720,Phú Quốc có gì đẹp,ask_location_feature,0.946,Phú Quốc,,0,2026-04-29 00:45:14.764054,reference
drift_23069_727,du lịch tiết kiệm,search_price,0.905,,3000000.0,0,2026-04-29 01:06:52.386082,reference
drift_72632_7,thông tin chi tiết tour Đà Lạt tư vấn với,ask_tour_info,0.937,Đà Lạt,10000000.0,0,2026-04-29 01:28:30.008109,reference
drift_38117_896,đi Đà Nẵng mùa nào đẹp,search_travel,0.906,Đà Nẵng,3000000.0,0,2026-04-29 01:50:07.630137,reference
drift_55032_470,ở Hội An có villa nào tốt,search_accommodation,0.867,Hội An,,0,2026-04-29 02:11:45.252164,reference
drift_89406_266,cho mình hỏi tour Huế,search_travel,0.877,Huế,,0,2026-04-29 02:33:22.874192,reference
drift_46693_268,khoảng 5 ngày 2 đêm,inform,0.972,,3000000.0,0,2026-04-29 02:55:00.496219,reference
drift_12525_590,đi Hà Giang 2 ngày 2 đêm nên đi đâu,ask_itinerary,0.864,Hà Giang,10000000.0,0,2026-04-29 03:16:38.118247,reference
drift_74248_526,tour này có hdv không,ask_tour_info,0.892,,5000000.0,0,2026-04-29 03:38:15.740275,reference
drift_73792_962,hey gấp ạ,greet,0.862,,,0,2026-04-29 03:59:53.362302,reference
drift_73681_372,cho thuê xe đạp xe,search_activity,0.965,,,0,2026-04-29 04:21:30.984330,reference
drift_42864_597,bao gồm những gì,ask_tour_info,0.939,,20000000.0,0,2026-04-29 04:43:08.606357,reference
drift_90952_506,Đà Lạt ạ,inform,0.925,Đà Lạt,15000000.0,0,2026-04-29 05:04:46.228385,reference
drift_84622_684,đi leo núi ở đâu tư vấn với,search_activity,0.875,,,0,2026-04-29 05:26:23.850412,reference
drift_56278_766,có quán nào ngon ở Hà Nội,search_food_dining,0.947,Hà Nội,,0,2026-04-29 05:48:01.472440,reference
drift_80191_761,đi Phú Quốc mùa nào đẹp,search_travel,0.925,Phú Quốc,15000000.0,0,2026-04-29 06:09:39.094467,reference
drift_15217_973,đi máy bay nhé,inform,0.984,,5000000.0,0,2026-04-29 06:31:16.716495,reference
drift_17283_919,có,affirm,0.91,,,0,2026-04-29 06:52:54.338522,reference
drift_72429_69,ừ ạ,affirm,0.967,,,0,2026-04-29 07:14:31.960550,reference
drift_77576_294,ai lập trình ra bạn tư vấn với,bot_challenge,0.892,,,0,2026-04-29 07:36:09.582577,reference
drift_14342_689,tour này có hdv không nha,ask_tour_info,0.925,,2000000.0,0,2026-04-29 07:57:47.204605,reference
drift_98840_551,tour này có hdv không,ask_tour_info,0.878,,2000000.0,0,2026-04-29 08:19:24.826633,reference
drift_32171_331,đi Hội An chi phí thế nào,search_travel,0.926,Hội An,20000000.0,0,2026-04-29 08:41:02.448660,reference
drift_45861_283,muốn đạp xe ở Nha Trang,search_activity,0.896,Nha Trang,,0,2026-04-29 09:02:40.070688,reference
drift_91991_930,du lịch tiết kiệm,search_price,0.937,,,0,2026-04-29 09:24:17.692715,reference
drift_66402_603,Sapa có gì chơi,ask_location_feature,0.978,Sapa,,0,2026-04-29 09:45:55.314743,reference
drift_45401_824,ok cảm ơn,goodbye,0.907,,,0,2026-04-29 10:07:32.936770,reference
drift_30503_623,gợi ý lịch trình Hội An 4 ngày 1 đêm,ask_itinerary,0.877,Hội An,20000000.0,0,2026-04-29 10:29:10.558798,reference
drift_89567_306,đi Phú Quốc chi phí thế nào gấp ạ,search_travel,0.899,Phú Quốc,,0,2026-04-29 10:50:48.180825,reference
drift_50647_846,tour này có hdv không,ask_tour_info,0.852,,20000000.0,0,2026-04-29 11:12:25.802853,reference
drift_86118_535,giá tour này bao nhiêu bot ơi,search_price,0.944,,,0,2026-04-29 11:34:03.424880,reference
drift_94712_122,bao gồm những gì,ask_tour_info,0.984,,2000000.0,0,2026-04-29 11:55:41.046908,reference
drift_71807_189,hi,greet,0.989,,,0,2026-04-29 12:17:18.668935,reference
drift_12761_18,thông tin chi tiết tour Vũng Tàu,ask_tour_info,0.968,Vũng Tàu,,0,2026-04-29 12:38:56.290963,reference
drift_63929_571,muốn dù lượn ở Vũng Tàu ạ,search_activity,0.903,Vũng Tàu,,0,2026-04-29 13:00:33.912990,reference
drift_31153_608,phương tiện đi Đà Nẵng,ask_transportation,0.858,Đà Nẵng,,0,2026-04-29 13:22:11.535018,reference
drift_99530_966,phương tiện đi Phú Quốc,ask_transportation,0.943,Phú Quốc,,0,2026-04-29 13:43:49.157046,reference
drift_17886_70,muốn đi du lịch tháng 9,search_destination,0.971,,,0,2026-04-29 14:05:26.779073,reference
drift_35653_379,có nha,affirm,0.891,,,0,2026-04-29 14:27:04.401101,reference
drift_13687_82,thời tiết hôm nay thế nào,out_of_scope,0.856,,,0,2026-04-29 14:48:42.023128,reference
drift_54378_114,gợi ý lịch trình Phú Quốc 4 ngày 4 đêm nha,ask_itinerary,0.973,Phú Quốc,,0,2026-04-29 15:10:19.645156,reference
drift_94279_171,giá tour này bao nhiêu ạ,search_price,0.89,,8000000.0,0,2026-04-29 15:31:57.267183,reference
drift_33811_564,cho mình hỏi tour Hà Nội,search_travel,0.876,Hà Nội,5000000.0,0,2026-04-29 15:53:34.889211,reference
drift_10497_671,ai lập trình ra bạn,bot_challenge,0.851,,,0,2026-04-29 16:15:12.511238,reference
drift_35123_964,hi,greet,0.919,,,0,2026-04-29 16:36:50.133266,reference
drift_83274_70,tạm biệt tư vấn với,goodbye,0.975,,,0,2026-04-29 16:58:27.755293,reference
drift_87635_218,thôi,deny,0.99,,,0,2026-04-29 17:20:05.377321,reference
drift_77690_612,ăn gì ở Phú Quốc shop,search_food_dining,0.962,Phú Quốc,,0,2026-04-29 17:41:42.999348,reference
drift_96962_548,có tour nào đi Hội An không,search_travel,0.901,Hội An,,0,2026-04-29 18:03:20.621376,reference
drift_69383_450,được tư vấn với,affirm,0.879,,,0,2026-04-29 18:24:58.243403,reference
drift_26757_64,có homestay nào ở Vũng Tàu không,search_accommodation,0.869,Vũng Tàu,,0,2026-04-29 18:46:35.865431,reference
drift_40773_107,tháng 5,inform,0.95,,15000000.0,0,2026-04-29 19:08:13.487459,reference
drift_20234_495,chi phí tour Phú Quốc,search_price,0.971,Phú Quốc,10000000.0,0,2026-04-29 19:29:51.109486,reference
drift_24576_984,đăng ký tour Sapa,book_tour,0.956,Sapa,,0,2026-04-29 19:51:28.731514,reference
drift_32776_4,Hà Giang có đặc sản gì,search_food_dining,0.984,Hà Giang,,0,2026-04-29 20:13:06.353541,reference
drift_39736_393,đi Đà Lạt chi phí bao nhiêu,search_price,0.97,Đà Lạt,,0,2026-04-29 20:34:43.975569,reference
drift_38279_27,ở Hội An có nhà nghỉ nào tốt gấp ạ,search_accommodation,0.941,Hội An,,0,2026-04-29 20:56:21.597596,reference
drift_72520_827,có tour nào đi Nha Trang không,search_travel,0.926,Nha Trang,5000000.0,0,2026-04-29 21:17:59.219624,reference
drift_37618_915,có tour nào đi Phú Quốc không,search_travel,0.882,Phú Quốc,5000000.0,0,2026-04-29 21:39:36.841651,reference
drift_15722_201,bạn có biết nấu ăn không,out_of_scope,0.874,,,0,2026-04-29 22:01:14.463679,reference
drift_20220_588,dù lượn tư vấn với,inform,0.985,,,0,2026-04-29 22:22:52.085706,reference
drift_23567_97,mở cửa hàng lúc mấy giờ bot ơi,out_of_scope,0.988,,,0,2026-04-29 22:44:29.707734,reference
drift_92510_715,đi leo núi ở đâu nha,search_activity,0.856,,,0,2026-04-29 23:06:07.329761,reference
drift_14976_948,chèo thuyền nhé,inform,0.968,,2000000.0,0,2026-04-29 23:27:44.951789,reference
drift_27499_90,xin chào,greet,0.963,,,0,2026-04-29 23:49:22.573816,reference
drift_83613_332,lặn san hô,inform,0.891,,20000000.0,0,2026-04-30 00:11:00.195844,reference
drift_47688_322,Đà Lạt có gì đẹp,ask_location_feature,0.99,Đà Lạt,,0,2026-04-30 00:32:37.817872,reference
drift_62420_133,tháng 11 bot ơi,inform,0.895,,,0,2026-04-30 00:54:15.439899,reference
drift_13091_933,cho em xin tour Nha Trang 2 triệu,search_travel,0.91,Nha Trang,15000000.0,0,2026-04-30 01:15:53.061927,reference
drift_37627_265,tìm chỗ dù lượn,search_activity,0.93,,,0,2026-04-30 01:37:30.683954,reference
