session_id,raw_text,predicted_intent,confidence_score,destination,parsed_budget,no_results_flag,timestamp,segment_label
drift_25534_250,gợi ý lịch trình Hội An 2 ngày 1 đêm,ask_itinerary,0.898,Hội An,5000000.0,0,2026-05-10 16:27:49.457421,drift
drift_78743_55,đi Hội An bằng gì,ask_transportation,0.923,Hội An,,0,2026-05-10 16:49:26.538322,drift
drift_35530_122,đi Huế 5 ngày 2 đêm nên đi đâu shop,ask_itinerary,0.859,Huế,10000000.0,0,2026-05-10 17:11:03.619223,drift
drift_32168_315,không có,deny,0.985,,,0,2026-05-10 17:32:40.700123,drift
drift_87174_888,lịch trình tour Hà Giang nhé,ask_tour_info,0.869,Hà Giang,5000000.0,0,2026-05-10 17:54:17.781024,drift
drift_69067_355,bạn là ai,bot_challenge,0.925,,,0,2026-05-10 18:15:54.861925,drift
drift_60488_219,đi Đà Nẵng bằng gì,ask_transportation,0.853,Đà Nẵng,,0,2026-05-10 18:37:31.942826,drift
drift_20345_843,tìm chỗ trekking tư vấn với,search_activity,0.904,,,0,2026-05-10 18:59:09.023726,drift
drift_65540_366,Nha Trang mùa nào đẹp nhất,ask_location_feature,0.93,Nha Trang,,0,2026-05-10 19:20:46.104627,drift
drift_71337_504,leo núi,inform,0.903,,,0,2026-05-10 19:42:23.185528,drift
drift_30408_693,đi Đà Nẵng chi phí thế nào,search_travel,0.97,Đà Nẵng,10000000.0,0,2026-05-10 20:04:00.266429,drift
drift_67818_890,Huế,inform,0.983,Huế,,0,2026-05-10 20:25:37.347329,drift
drift_27335_89,từ Sài Gòn đi Vũng Tàu bằng xe gì,search_travel,0.932,Vũng Tàu,,0,2026-05-10 20:47:14.428230,drift
drift_84857_201,ăn gì ở Phú Quốc nhé,search_food_dining,0.855,Phú Quốc,,0,2026-05-10 21:08:51.509131,drift
drift_88285_216,gợi ý lịch trình Hà Nội 2 ngày 3 đêm gấp ạ,ask_itinerary,0.901,Hà Nội,2000000.0,0,2026-05-10 21:30:28.590032,drift
drift_31070_314,mình cần tìm tour Hà Giang giá rẻ nha,search_travel,0.981,Hà Giang,3000000.0,0,2026-05-10 21:52:05.670932,drift
drift_13953_42,ok cảm ơn ạ,goodbye,0.915,,,0,2026-05-10 22:13:42.751833,drift
drift_90730_863,muốn đạp xe ở Sapa,search_activity,0.976,Sapa,,0,2026-05-10 22:35:19.832734,drift
drift_31884_454,bye,goodbye,0.975,,,0,2026-05-10 22:56:56.913635,drift
drift_78319_940,hi,greet,0.904,,,0,2026-05-10 23:18:33.994535,drift
drift_45124_907,tìm chỗ trekking,search_activity,0.983,,,0,2026-05-10 23:40:11.075436,drift
drift_60882_858,có được hoàn không,ask_policy_booking,0.885,,,0,2026-05-11 00:01:48.156337,drift
drift_19718_107,được,affirm,0.948,,,0,2026-05-11 00:23:25.237238,drift
drift_24302_714,thôi shop,deny,0.968,,,0,2026-05-11 00:45:02.318138,drift
drift_17769_50,leo núi nha,inform,0.957,,8000000.0,0,2026-05-11 01:06:39.399039,drift
drift_64111_934,dù lượn,inform,0.956,,20000000.0,0,2026-05-11 01:28:16.479940,drift
drift_10502_127,gợi ý lịch trình Huế 4 ngày 3 đêm,ask_itinerary,0.937,Huế,,0,2026-05-11 01:49:53.560841,drift
drift_59963_558,đăng ký tour Vũng Tàu,book_tour,0.91,Vũng Tàu,,0,2026-05-11 02:11:30.641741,drift
drift_81623_465,có chỗ nào chèo thuyền không,search_activity,0.943,,,0,2026-05-11 02:33:07.722642,drift
drift_68824_966,chính sách hủy tour,ask_policy_booking,0.883,,,0,2026-05-11 02:54:44.803543,drift
drift_69127_815,có được hoàn không tư vấn với,ask_policy_booking,0.912,,,0,2026-05-11 03:16:21.884444,drift
drift_67497_194,muốn đặt tour Nha Trang,book_tour,0.851,Nha Trang,,0,2026-05-11 03:37:58.965344,drift
drift_36224_964,Hội An có đặc sản gì tư vấn với,search_food_dining,0.922,Hội An,,0,2026-05-11 03:59:36.046245,drift
drift_63946_223,có resort nào ở Phú Quốc không,search_accommodation,0.935,Phú Quốc,,0,2026-05-11 04:21:13.127146,drift
drift_17001_549,cho mình hỏi tour Hà Giang gấp ạ,search_travel,0.878,Hà Giang,5000000.0,0,2026-05-11 04:42:50.208047,drift
drift_77973_380,tháng 8 tư vấn với,inform,0.896,,20000000.0,0,2026-05-11 05:04:27.288947,drift
drift_65710_325,gợi ý lịch trình Sapa 5 ngày 2 đêm,ask_itinerary,0.868,Sapa,,0,2026-05-11 05:26:04.369848,drift
