text,intent
chốt luôn,affirm
đỉnh quá,affirm
correct,affirm
oke,affirm
chuẩn,affirm
tuyệt vời,affirm
okela,affirm
đúng ý mình,affirm
yup,affirm
quá tuyệt,affirm
y,affirm
that sounds good,affirm
ưng ý lắm,affirm
đồng ý,affirm
yes,affirm
xịn xò,affirm
đúng rồi,affirm
dạ đúng,affirm
duyệt,affirm
nên đi những đâu trong [3 ngày](duration),ask_itinerary
lên giúp mình lịch trình tự túc đà nẵng,ask_itinerary
mình cần lên lịch trình đi sapa,ask_itinerary
tư vấn lịch trình,ask_itinerary
lên plan đi Đà Lạt giúp mình,ask_itinerary
cho xin lịch trình tham quan,ask_itinerary
lịch trình ăn chơi Đà Nẵng,ask_itinerary
mình cần kế hoạch du lịch Phú Quốc,ask_itinerary
sắp xếp lịch trình đi chơi Nha Trang,ask_itinerary
tư vấn tour [4 ngày 3 đêm](duration),ask_itinerary
nên phân bổ thời gian đi chơi thế nào,ask_itinerary
tạo giúp mình lịch trình tự túc,ask_itinerary
gợi ý plan đi chơi [cuối tuần](time_window),ask_itinerary
gợi ý lịch trình đi Sapa [3 ngày 2 đêm](duration),ask_itinerary
vị trí có thuận tiện đi lại không,ask_location_feature
mùa này đi biển có bão không,ask_location_feature
ở đó có mát không,ask_location_feature
đường đi chỗ đó có dốc không,ask_location_feature
an ninh khu vực đó thế nào,ask_location_feature
ở đó mạng di động có khỏe không,ask_location_feature
[đặc sản](activity) [Sa Pa](location) là gì,ask_location_feature
phong cảnh Hà Giang mùa này sao,ask_location_feature
Đà Lạt mưa nhiều không,ask_location_feature
chỗ đó có ồn ào không,ask_location_feature
tối ở đó có nhộn nhịp không,ask_location_feature
khí hậu ở đó thế nào,ask_location_feature
trên đó có lạnh không,ask_location_feature
thanh toán qua chuyển khoản được không,ask_policy_booking
hủy vé có mất phí không,ask_policy_booking
bị ốm đột xuất hủy tour thế nào,ask_policy_booking
chính sách đổi trả ra sao,ask_policy_booking
thanh toán như thế nào,ask_policy_booking
có xuất hóa đơn VAT không,ask_policy_booking
mình muốn hủy phòng,ask_policy_booking
trẻ dưới 2 tuổi tính vé sao,ask_policy_booking
thủ tục đặt tour ra sao,ask_policy_booking
đặt cọc trước bao nhiêu phần trăm,ask_policy_booking
trẻ em có miễn phí không,ask_policy_booking
chính sách cho người cao tuổi,ask_policy_booking
bên mình hủy tour trước 3 ngày có được hoàn 100% tiền không,ask_policy_booking
bao lâu thì nhận được tiền hoàn,ask_policy_booking
báo giá tour Thái Lan khởi hành từ HCM [tháng sau](time_window),ask_tour_info
tour khởi hành lúc mấy giờ,ask_tour_info
trong tour có bao ăn uống không,ask_tour_info
có tour ghép đoàn nào đi Hà Giang khởi hành [thứ 6](time_window) không,ask_tour_info
tour Đà Lạt [tháng 12](month) còn trống chỗ không,ask_tour_info
có tour nào dưới [2 triệu](budget) không,ask_tour_info
tour đà lạt đi bằng xe giường nằm hay xe ngồi,ask_tour_info
tìm tour đi Phú Quốc [3 ngày 2 đêm](duration),ask_tour_info
xin lịch trình và báo giá tour Sapa đi [cuối tuần này](time_window),ask_tour_info
mình muốn đặt tour đi vịnh Hạ Long [2 người lớn 1 trẻ em](party_size),ask_tour_info
thông tin chi tiết tour đà nẵng,ask_tour_info
lịch trình ngày 2 của tour sapa này đi những đâu,ask_tour_info
có tour nào từ Vinh đi Đồi Chè Thanh Chương không?,ask_tour_info
cho xem lịch trình tour Hà Giang [tuần tới](time_window),ask_tour_info
đến đó bằng phương tiện gì,ask_transportation
ở Phú Quốc có [taxi](transportation) không,ask_transportation
vé máy bay đi Hà Nội,ask_transportation
tư vấn phương tiện di chuyển,ask_transportation
đặt xe [limousine](transportation) đi Sapa,ask_transportation
đi [tàu hỏa](transportation) ra Đà Nẵng mất bao lâu,ask_transportation
giá vé [xe khách](transportation) bao nhiêu,ask_transportation
cách di chuyển từ sân bay về khách sạn,ask_transportation
thuê [xe máy](transportation) ở đâu,ask_transportation
mình muốn mua vé [xe giường nằm](transportation),ask_transportation
vé máy bay khứ hồi hà nội phú quốc,ask_transportation
từ sân bay về khách sạn có xe đưa đón không,ask_transportation
từ sân bay có xe bus không,ask_transportation
thời tiết [Nha Trang](location) sao,ask_weather_timing
cho mình book tour Đà Nẵng,book_tour
mình muốn book tour,book_tour
book tour,book_tour
đặt tour,book_tour
mình muốn đặt tour Sapa,book_tour
mình cần book tour Đà Lạt [tháng 12](month),book_tour
đặt giúp mình tour Sapa [tuần sau](time_window),book_tour
đặt tour Vũng Tàu [2 người](party_size),book_tour
cho mình đặt tour Phú Quốc [gia đình 4 người](party_size),book_tour
đặt tour Đà Lạt,book_tour
muốn đặt tour du lịch,book_tour
ai đang chat vậy,bot_challenge
shop dùng auto reply à,bot_challenge
mày là AI hả,bot_challenge
are you a human?,bot_challenge
are you a bot?,bot_challenge
am I talking to a bot?,bot_challenge
đang chat với bot à,bot_challenge
am I talking to a human?,bot_challenge
không phải,deny
bỏ đi,deny
nope,deny
không thích,deny
đắt quá thôi,deny
đổi cái khác đi,deny
không ok lắm,deny
k,deny
sai rồi,deny
cám ơn bot nhé bye,goodbye
lúc khác nhắn tiếp,goodbye
see you around,goodbye
bye shop,goodbye
tạm biệt,goodbye
pp,goodbye
hẹn gặp lại,goodbye
have a nice day,goodbye
see you later,goodbye
good by,goodbye
off đây,goodbye
good night,goodbye
cee you later,goodbye
bye,goodbye
out nha,goodbye
bai bai,goodbye
ê bot,greet
good afternoon,greet
hey dude,greet
buổi sáng tốt lành,greet
chào ad,greet
moin,greet
good evening,greet
goodmorning,greet
alo,greet
có ai ở đó không,greet
goodevening,greet
hi shop,greet
hello,greet
xin chào,greet
hello ad,greet
chào bạn,greet
hi,greet
súp bro,greet
good morning,greet
tư vấn mình với,greet
đi đà lạt,inform
tầm [10 củ](budget),inform
Phú Quốc,inform
[tháng 11](month),inform
[xe khách](transportation),inform
Đà Nẵng,inform
đi [máy bay](transportation) nhé,inform
cho hỏi thêm xíu nha,inform
cho tôi hỏi thêm,inform
đi [biển](category),inform
[cuối tuần](time_window),inform
Hội An,inform
Huế,inform
khoảng [6 củ](budget),inform
Nha Trang,inform
[2 củ](budget),inform
ở Đà Lạt thì sao,inform
sapa,inform
Sapa,inform
Hà Nội nha,inform
[10 triệu](budget),inform
[6tr](budget),inform
thế còn Sapa,inform
Vũng Tàu,inform
còn Phú Quốc thì sao,inform
khởi hành từ Sài Gòn,inform
[4 người](party_size),inform
[núi](category),inform
ở Vũng Tàu thì sao,inform
[2 người lớn 1 trẻ em](party_size),inform
ngân sách [5tr](budget),inform
mình xuất phát từ Đà Nẵng,inform
Hà Nội,inform
nhóm mình [6 người](party_size),inform
muốn đi [biển](category),inform
mở nhạc cho tôi nghe,out_of_scope
cách chữa đau dạ dày,out_of_scope
