text,intent,confidence
Tour du lịch Đà Lạt 3 ngày 2 đêm,search_travel,0.95
Ở đâu chơi ở Đà Lạt,search_destination,0.95
Homestay đẹp ở Đà Lạt,search_accommodation,0.95
Đi thác Cam Ly Đà Lạt,search_activity,0.95
Giá vé máy bay đi Đà Lạt,ask_transportation,0.95
Thời tiết Đà Lạt tháng 4,ask_weather_timing,0.95
Khách sạn gần biển Nha Trang,search_accommodation,0.95
Tour lặn biển ở Nha Trang,search_activity,0.95
Nha Trang có gì ngon,search_food_dining,0.95
Đi Nha Trang tháng 7,search_destination,0.95
Giá tour Nha Trang trọn gói,search_price,0.95
Đặt phòng khách sạn Nha Trang,book_tour,0.95
Vé máy bay đi Phú Quốc giá rẻ,ask_transportation,0.95
Resort view biển ở Phú Quốc,search_accommodation,0.95
Đi Phú Quốc chơi gì,search_destination,0.95
Hải sản tươi ở Phú Quốc,search_food_dining,0.95
Tour Phú Quốc 4 ngày,search_travel,0.95
Thời tiết Phú Quốc tháng 3,ask_weather_timing,0.95
Homestay view núi ở Sa Pa,search_accommodation,0.95
Đi Sa Pa ngắm tuyết,search_activity,0.95
Giá tour Sa Pa từ Hà Nội,search_price,0.95
Ở Sa Pa mấy ngày là đủ,ask_itinerary,0.95
Thuê xe máy đi Sa Pa,ask_transportation,0.95
Đi Sa Pa tháng mấy đẹp,ask_weather_timing,0.95
Resort view biển ở Đà Nẵng,search_accommodation,0.95
Đi Đà Nẵng ăn gì,search_food_dining,0.95
Tour Hội An Đà Nẵng 5 ngày,search_travel,0.95
Cầu Vàng Đà Nẵng ở đâu,search_destination,0.95
Đi Đà Nẵng tháng 6 có mưa không,ask_weather_timing,0.95
Giá vé máy bay đi Đà Nẵng,ask_price,0.95
Nhà nghỉ ở Vũng Tàu giá rẻ,search_accommodation,0.95
Đi Vũng Tàu cuối tuần,search_destination,0.95
Hải sản ở Vũng Tàu,search_food_dining,0.95
Tour Vũng Tàu trong ngày,search_travel,0.95
Bãi biển Vũng Tàu đẹp nhất,search_activity,0.95
Đi Vũng Tàu bằng tàu cao tốc,ask_transportation,0.95
Khách sạn ở Hà Nội trung tâm,search_accommodation,0.95
Phố cổ Hà Nội ở đâu,search_destination,0.95
Ẩm thực Hà Nội món gì ngon,search_food_dining,0.95
Đi Hà Nội tháng 9,ask_weather_timing,0.95
Tour Hà Nội Hạ Long,search_travel,0.95
Thuê xe ở Hà Nội,ask_transportation,0.95
Homestay ở Hội An giá rẻ,search_accommodation,0.95
Phố cổ Hội An về đêm,search_destination,0.95
Món ăn Hội An đặc sản,search_food_dining,0.95
Đi Hội An tháng 5,ask_weather_timing,0.95
Tour Đà Nẵng Hội An,search_travel,0.95
Đặt tour Hội An,book_tour,0.95
Đi Huế chơi gì,search_destination,0.95
Ẩm thực Huế món gì,search_food_dining,0.95
Khách sạn ở Huế gần Đại Nội,search_accommodation,0.95
Tour Huế 2 ngày,search_travel,0.95
Thời tiết Huế tháng 8,ask_weather_timing,0.95
Đi Huế bằng tàu,ask_transportation,0.95
Mũi Né có gì đẹp,search_destination,0.95
Resort Mũi Né view biển,search_accommodation,0.95
Đi Mũi Né chơi gì,search_activity,0.95
Hải sản Mũi Né,search_food_dining,0.95
Tour Mũi Né Phan Thiết,search_travel,0.95
Giá tour Mũi Né,search_price,0.95
