id,session_id,raw_text,predicted_intent,text_hash,cleaned_text,snorkel_intent,snorkel_confidence
3,sim_user_2,ik đà nẵng,unlabeled,554a89eda7def65872f00cd9037063c3,đi đà_nẵng,search_travel,0.9907313718961592
4,sim_user_3,bot ngu,unlabeled,25908a437a52e7425f940fba73997d0e,bot ngu,out_of_scope,0.9776099591987578
6,sim_user_5,tìm chỗ ở ở đà lạt wá,unlabeled,7eec1a8ec7714aab2acbe793e1986c26,tìm chỗ ở ở Đà_Lạt quá,search_travel,0.9899936683498408
7,sim_user_6,review du lịch đà lạt,unlabeled,c3f786eaef85f1348dc87256aef9a00f,review du_lịch Đà_Lạt,search_travel,0.9987537189639808
8,sim_user_7,review du lịch pù cúp,unlabeled,57675b5a2950fb3932a81f6b4af3a1a6,review du_lịch Phú_Quốc,search_travel,0.9987537189639808
10,sim_user_9,muốn đi sapa,unlabeled,0f1b08956ad3e458b643701a0601559f,muốn đi Sa_Pa,search_travel,0.9907313718961592
12,sim_user_11,ik đlạt,unlabeled,409a21def3ec205d82e88a982e2155dd,đi Đà_Lạt,search_travel,0.9907313718961592
14,sim_user_13,muốn tìm chỗ ở tại đlạt,unlabeled,0b08b2b9d964bee9389115e63cd89ccc,muốn tìm chỗ ở tại Đà_Lạt,search_travel,0.9899936683498408
15,sim_user_14,chửi thề,unlabeled,f215b442c9c49faca5f1e95ce0dd3298,chửi thề,out_of_scope,0.9776099591987578
17,sim_user_16,đặt ks ở đà lạt,unlabeled,705988b40500a2225f257d55d998a30f,đặt khách_sạn ở Đà_Lạt,book_hotel,0.7803165169351036
19,sim_user_18,giải bài tập,unlabeled,79702473e0aeb4dbabc6df8d675e2a75,giải bài_tập,out_of_scope,0.9776099591987578
20,sim_user_19,ik đà nẵng z,unlabeled,79689c20dcdaf90211f7540a46a06b71,đi đà_nẵng vậy,search_travel,0.9907313718961592
23,sim_user_22,muốn thuê ks tại pù cúp,unlabeled,1e217a380f1872a0cf99a39a7ddf2a1f,muốn thuê khách_sạn tại Phú_Quốc,book_hotel,0.7803165169351036
24,sim_user_23,tìm tour đà nẵng,unlabeled,18d4a7189b299b1eb13151413c2de0a2,tìm tour đà_nẵng,search_travel,0.9987537189639808
25,sim_user_24,tìm chỗ ở ở sg,unlabeled,8cfa10c579ac4ebf6b605ea08ec14c14,tìm chỗ ở ở Sài_Gòn,search_travel,0.9899936683498408
31,sim_user_30,muốn đi đà nẵng ko bot,unlabeled,147c9bda32c24b411d1bde6245cc1b7d,muốn đi đà_nẵng không bot,search_travel,0.9907313718961592
32,sim_user_31,đặt ks ở sg,unlabeled,43074caef20bd00e4035c1add8321f59,đặt khách_sạn ở Sài_Gòn,book_hotel,0.7803165169351036
38,sim_user_37,thời tiết nay sao,unlabeled,bee3d753e7cd3dc951f19c0b9ba11d0b,thời_tiết nay sao,out_of_scope,0.9776099591987578
40,sim_user_39,có tour nào đi phú quốc,unlabeled,4022ff4d12f0092c462a0930ebf675cc,có tour nào đi phú_quốc,search_travel,0.9907313718961592
41,sim_user_40,review du lịch hà nội,unlabeled,c82337c9994bd49b046dae5833b95acb,review du_lịch hà_nội,search_travel,0.9987537189639808
42,sim_user_41,muốn đi sg,unlabeled,a145c1ffc876d8617327750ea5acc7b2,muốn đi Sài_Gòn,search_travel,0.9907313718961592
43,sim_user_42,muốn đặt vé tại sapa,unlabeled,b4e7d42d6d8bdac98a3849542f221f8d,muốn đặt vé tại Sa_Pa,book_hotel,0.7803165169351036
46,sim_user_45,tìm chỗ ở ở sapa,unlabeled,2eff011cc6d49f2fd570c332e3859fc6,tìm chỗ ở ở Sa_Pa,search_travel,0.9899936683498408
48,sim_user_47,ik pù cúp,unlabeled,c6289ac85e8ed9c51e8a392c6bdad3ec,đi Phú_Quốc,search_travel,0.9907313718961592
50,sim_user_49,muốn đặt vé tại đà nẵng ko bot,unlabeled,66a79de9e3a0eb80b3991477bebdaa50,muốn đặt vé tại đà_nẵng không bot,book_hotel,0.7803165169351036
52,sim_user_51,muốn đi pù cúp,unlabeled,fa96ce19ff9fe40598e06dac35004b81,muốn đi Phú_Quốc,search_travel,0.9907313718961592
55,sim_user_54,muốn đặt ks tại đà nẵng,unlabeled,83696282822c8e886baa907cc8b7bb4f,muốn đặt khách_sạn tại đà_nẵng,book_hotel,0.7803165169351036
56,sim_user_55,có tour nào đi sapa,unlabeled,cbfe1b1da8a8ea53eec3294dac427d7d,có tour nào đi Sa_Pa,search_travel,0.9907313718961592
58,sim_user_57,muốn book tour tại đà nẵng,unlabeled,e3e35de2325726510beee54f97dd1a9f,muốn book tour tại đà_nẵng,book_hotel,0.7803165169351036
