id,session_id,raw_text,predicted_intent,text_hash,cleaned_text,snorkel_intent,snorkel_confidence
1,sim_user_0,muốn đặt vé tại nt ko bot,unlabeled,99c690d261554afabfccbc86a086547f,muốn đặt vé tại Nha_Trang không bot,book_hotel,0.6474537578041929
2,sim_user_1,tour hà nội bao nhiêu,unlabeled,e9e6ec4f564eb1b4607f0b0f5787e941,tour hà_nội bao_nhiêu,ask_price,0.5768767451365249
5,sim_user_4,buồn ngủ quá ko bot,unlabeled,577b69f0d7242630d64578fff3f1b06e,buồn ngủ quá không bot,UNLABELED,0.25
9,sim_user_8,ik nt,unlabeled,cd18ae9e87b928ece5d3aa4f9dc97a0b,đi Nha_Trang,ask_price,0.5768767451365249
11,sim_user_10,tìm tour nt,unlabeled,e541d3774717d537d5a00f76cc34c446,tìm tour Nha_Trang,ask_price,0.5768767451365249
13,sim_user_12,mấy tiền cho tour nha trang,unlabeled,527013acd39ec0bc3f24a5473105b57d,mấy tiền cho tour Nha_Trang,ask_price,0.5768767451365249
16,sim_user_15,review du lịch nha trang,unlabeled,5db2d18772ee7f128fc2f376c9590ecf,review du_lịch Nha_Trang,ask_price,0.5768767451365249
18,sim_user_17,mấy tiền cho tour hà nội,unlabeled,5429d40e515001045d7daa8f4306ddad,mấy tiền cho tour hà_nội,ask_price,0.5768767451365249
21,sim_user_20,tour sg khoảng mấy tr,unlabeled,e503d39122613dffe41a576d43f76345,tour Sài_Gòn khoảng mấy triệu,ask_price,0.5768767451365249
22,sim_user_21,tour đà lạt mấy củ z,unlabeled,025c17050ed0d40b3ddc4dc204cd2fd6,tour Đà_Lạt mấy triệu vậy,ask_price,0.5768767451365249
26,sim_user_25,tour pù cúp mấy tiền,unlabeled,47f30e008fada36b77b4d8db13c438a8,tour Phú_Quốc mấy tiền,ask_price,0.5768767451365249
27,sim_user_26,chi phí cho tour sapa,unlabeled,610b03aa6ce818242e99ea8094916aa8,chi_phí cho tour_Sa_Pa,ask_price,0.5768767451365249
