text,intent
mình hỏi Tắm nước nóng Hà Nội,search_activity
ad ơi Nhiệt độ Phú Quốc trung bình,ask_weather_timing
ad ơi Nhà nghỉ Nha Trang giá rẻ,search_accommodation
mình hỏi Tour Đà Nẵng team building,search_travel
cho tôi hỏi Xe đạp đi Phú Quốc,ask_transportation
làm ơn Taxi ở Nha Trang giá rẻ,ask_transportation
cho tôi hỏi Đi bộ biển Đà Lạt,search_activity
cho em hỏi Top địa điểm Huế,search_destination
cho em hỏi Hải sản Hà Nội tươi ngon,search_food_dining
Tàu hỏa Huế bao nhiêu tiền,ask_transportation
cho em hỏi Thời gian lý tưởng đi Vũng Tàu,ask_weather_timing
Ngắm hoàng hôn Hội An,search_activity
ad ơi Resort Đà Lạt 5 sao,search_accommodation
mình hỏi Đặt tour Vũng Tàu cho đoàn,book_tour
cho tôi hỏi Đi bộ biển Mũi Né,search_activity
Đặt phòng khách sạn Đà Lạt,book_tour
cho em hỏi Hội An ở đâu,search_destination
ad ơi Mũi Né có quán nào nổi tiếng,search_food_dining
cho tôi hỏi Phú Quốc nổi tiếng về gì,search_destination
ad ơi Đặc sản Sa Pa phải thử,search_food_dining
mình hỏi Ẩm thực Hội An món gì đặc sản,search_food_dining
ad ơi Combo Phú Quốc trọn gói,search_travel
ad ơi Thời tiết Huế tháng 12,ask_weather_timing
Tôi muốn đưa con đi Phú Quốc,inform
Các hãng bay đến Vũng Tàu,ask_transportation
cho em hỏi Hải sản Sa Pa tươi ngon,search_food_dining
cho em hỏi Tour du lịch Đà Lạt giá rẻ,search_travel
mình hỏi Hải sản Phú Quốc tươi ngon,search_food_dining
cho tôi hỏi Vẻ đẹp Sa Pa,search_destination
mình hỏi Chia sẻ kinh nghiệm Đà Nẵng,search_destination
ad ơi Đi thác Đà Nẵng tham quan,search_activity
mình hỏi Cả nhà tôi đi Huế dịp Tết,inform
mình hỏi Tôi muốn đưa con đi Mũi Né,inform
cho tôi hỏi Đi thác Đà Nẵng tham quan,search_activity
cho tôi hỏi Hải sản Phú Quốc tươi ngon,search_food_dining
làm ơn Du lịch Đà Nẵng tự túc,search_travel
cho em hỏi Tắm nước nóng Đà Lạt,search_activity
mình hỏi Bố mẹ tôi thích Nha Trang,inform
Tour Vũng Tàu cho cặp đôi,search_travel
làm ơn Resort Mũi Né gia đình,search_accommodation
làm ơn Sa Pa ăn gì cho bữa sáng,search_food_dining
làm ơn Gợi ý tour Nha Trang 2 ngày,ask_itinerary
làm ơn Hải sản Sa Pa giá rẻ,search_food_dining
cho em hỏi Lịch trình Mũi Né tự túc,ask_itinerary
cho em hỏi Đi Mũi Né bằng xe máy,ask_transportation
cho tôi hỏi Ở Phú Quốc 4 ngày đi đâu,ask_itinerary
Tiền ăn ở Hội An 1 ngày,search_price
mình hỏi Du lịch Nha Trang mùa đông,search_travel
Món Việt Nha Trang ngon,search_food_dining
mình hỏi Tôi nghe nói Đà Nẵng rất đẹp,inform
cho em hỏi Công ty tôi tổ chức team building ở Mũi Né,inform
mình hỏi Đi phượt Sa Pa bằng xe máy,search_activity
cho em hỏi Nhiệt độ Nha Trang trung bình,ask_weather_timing
Nha Trang ăn gì cho bữa sáng,search_food_dining
ad ơi Tour Phú Quốc giá học sinh,search_travel
làm ơn Khách sạn Hà Nội giá rẻ,search_accommodation
cho tôi hỏi Lịch trình Phú Quốc cho gia đình,ask_itinerary
ad ơi Cả nhà tôi đi Nha Trang dịp Tết,inform
cho tôi hỏi Nhiệt độ Sa Pa trung bình,ask_weather_timing
cho em hỏi Buffet Hội An giá rẻ,search_food_dining
cho tôi hỏi Thời tiết Huế tháng 12,ask_weather_timing
cho em hỏi Kế hoạch du lịch Huế,ask_itinerary
Ở Phú Quốc 4 ngày đi đâu,ask_itinerary
cho tôi hỏi Tour Phú Quốc giá học sinh,search_travel
cho em hỏi Bạn tôi gợi ý đi Mũi Né,inform
mình hỏi Cảnh đẹp Đà Nẵng nổi tiếng,search_destination
