text,intent
đi Sa Pa ngắm tuyết,search_destination
thuê áo ấm ở Đà Lạt,search_accommodation
giá tour Đà Lạt tháng 12,search_price
thời tiết mùa đông Hà Nội,ask_weather_timing
homestay có lò sưởi ở Sa Pa,search_accommodation
săn mây Tà Xùa tháng 1,search_activity
check in hoa tam giác mạch Hà Giang,search_destination
ruộng bậc thang mùa lúa chín,search_activity
leo núi Bạch Mộc Lương Tử,search_activity
mang theo áo ấm đi Đà Lạt,inform
đi xe máy lên Sa Pa,ask_transportation
tour Hà Giang 4 ngày 3 đêm,search_travel
ngắm hoàng hôn trên đỉnh núi,search_activity
nhà nghỉ gần trạm xe ở Sa Pa,search_accommodation
giá vé máy bay đi Điện Biên,ask_transportation
đi chợ tình Sa Pa mùa đông,search_destination
ẩm thực phố Hà Nội mùa đông,search_food_dining
đặt phòng homestay ở Sa Pa,book_tour
tham quan thác Bạc Sa Pa,search_activity
tour mùa đông giá rẻ,search_price
nhà xe đi Sa Pa từ Hà Nội,ask_transportation
ở lại mấy ngày ở Sa Pa,ask_itinerary
cho thuê áo phao ở Đà Lạt,search_activity
cơm tấm ngon ở Hà Nội,search_food_dining
khách sạn gần trung tâm Sa Pa,search_accommodation
đi chợ ban ngày ở Hà Nội,ask_itinerary
địa điểm cắm trại gần Hà Nội,search_destination
có tuyến xe buýt đi Sa Pa không,ask_transportation
phòng nghỉ view núi ở Sa Pa,search_accommodation
giá tour Đà Lạt trọn gói,search_price
mang quần áo gì đi Đà Lạt tháng 11,inform
ngắm tuyết rơi ở Sa Pa,search_activity
nhà hàng ngon nhất Sa Pa,search_food_dining
đi Hà Nội mùa đông chơi gì,ask_itinerary
thuê xe máy đi thác Bạc,search_activity
địa điểm chụp ảnh đẹp ở Đà Lạt,search_destination
khách sạn giá rẻ ở Hà Nội,search_accommodation
tour Đà Lạt mùa đông cho gia đình,search_travel
thời tiết Hà Nội tháng 10,ask_weather_timing
đi Lào Cai bằng tàu hỏa,ask_transportation
cơm rang bò Hà Nội,search_food_dining
phượt xe máy vòng quanh Tây Bắc,search_travel
check in Nhà thờ Lớn Hà Nội,search_destination
vé máy bay đi Điện Biên giá rẻ,ask_transportation
homestay view đẹp nhất Sa Pa,search_accommodation
đi chợ mùa đông ở Hà Nội,search_activity
thuê áo ấm ở đâu tại Đà Lạt,inform
phòng đơn giá rẻ ở Sa Pa,search_price
ngắm mây trên đỉnh Fansipan,search_activity
bắt xe đi Sa Pa ở bến xe Mỹ Đình,ask_transportation
đặt tour Hà Giang từ Hà Nội,search_travel
lẩu cá hồi ở Sa Pa,search_food_dining
khách sạn gần ga Sa Pa,search_accommodation
địa điểm đi chơi đêm ở Hà Nội,search_destination
xe điện tham quan phố cổ Hà Nội,ask_transportation
đặt tour Đà Lạt 2 ngày 1 đêm,book_tour
đi Sa Pa tháng mấy đẹp nhất,ask_weather_timing
thuê xe máy đi Hà Giang,search_activity
cơm chay ngon ở Hà Nội,search_food_dining
nhà chơi trẻ em gần Hồ Tây,search_destination
tour Hà Giang giá sinh viên,search_price
