text,intent
cho em hỏi Từ Sài Gòn đi Sa Pa bao xa,ask_transportation
mình hỏi Tiền ăn ở Hội An 1 ngày,search_price
Chè Hà Nội ngon,search_food_dining
Lẩu Hà Giang ăn ở đâu,search_food_dining
làm ơn Booking homestay Hà Giang giá rẻ,book_tour
cho tôi hỏi Thắng cố Hà Giang ở đâu,search_food_dining
Hội An có món gì đặc biệt,search_food_dining
Từ Hà Giang đi các nơi khác,ask_transportation
làm ơn Chi phí thuê xe Mũi Né,search_price
làm ơn Xe buýt đi Hà Giang,ask_transportation
mình hỏi Giá tour Hà Giang 3 ngày,search_travel
Hà Giang mùa xuân thời tiết ra sao,ask_weather_timing
Tour Hà Giang 5 ngày 4 đêm,search_travel
Thời tiết Sa Pa tháng 3,ask_weather_timing
ad ơi Buffet Hà Giang giá rẻ,search_food_dining
Đặt tour Phú Quốc khuyến mãi,book_tour
làm ơn Từ Sài Gòn đi Hà Giang bao xa,ask_transportation
cho tôi hỏi Đi Vũng Tàu bằng máy bay giá rẻ,ask_transportation
ad ơi Thời tiết Hà Giang tháng 3,ask_weather_timing
mình hỏi Tôi muốn tìm hiểu về Hội An,inform
mình hỏi Mua tour Hà Giang giảm giá,book_tour
ad ơi Du lịch Hà Giang mùa hè,search_travel
ad ơi Nhà nghỉ Hà Giang trung tâm,search_accommodation
ad ơi Quán ăn ngon ở Mũi Né,search_food_dining
ad ơi Tàu hỏa Mũi Né bao nhiêu tiền,ask_transportation
Booking tour Đà Lạt giá rẻ,book_tour
ad ơi Chèo kayak Hà Giang,search_activity
ad ơi Tôi muốn đưa con đi Hà Giang,inform
Tắm biển Hà Giang,search_activity
mình hỏi Hà Giang cách Hà Nội bao xa,search_destination
cho tôi hỏi Đi Hà Giang dịp lễ có vui không,ask_weather_timing
làm ơn Xe giường nằm đi Hà Giang,ask_transportation
Ăn tối trên du thuyền Hà Giang,search_activity
làm ơn Xe khách đi Sa Pa từ Sài Gòn,ask_transportation
Vé máy bay Hà Giang khứ hồi,search_price
ad ơi Chi phí du lịch Nha Trang 3 ngày,search_price
ad ơi Resort Hà Giang 5 sao,search_accommodation
cho em hỏi Mì quảng Hà Giang,search_food_dining
làm ơn Tour Hà Giang giá sinh viên,search_travel
cho em hỏi Khu nghỉ Hà Giang view núi,search_accommodation
ad ơi Bố mẹ tôi thích Hà Giang,inform
mình hỏi Đi thác Hà Giang tham quan,search_activity
cho em hỏi Bố mẹ tôi thích Hà Giang,inform
làm ơn Mì quảng Hà Giang,search_food_dining
ad ơi Villa Hà Giang hồ bơi,search_accommodation
cho tôi hỏi Thời tiết Đà Lạt cuối tuần,ask_weather_timing
ad ơi Lặn biển ở Đà Nẵng,search_activity
cho tôi hỏi Tour Hà Giang team building,search_travel
cho tôi hỏi Ngắm hoàng hôn Hà Giang,search_activity
cho tôi hỏi Bố mẹ tôi thích Hà Giang,inform
cho em hỏi Chơi dù bay Hội An,search_activity
Đặt phòng Phú Quốc online,book_tour
