text,intent,confidence
Đi Hà Giang ở đâu chơi đẹp,search_destination,0.95
Đi Hà Giang ở đâu chơi đẹp,search_destination,0.95
Đi Hà Giang ở đâu chơi đẹp,search_destination,0.95
Đi Hà Giang ở đâu chơi đẹp,search_destination,0.95
Đi Hà Giang ở đâu chơi đẹp,search_destination,0.95
Đi Hà Giang ở đâu chơi đẹp,search_destination,0.95
Có nên đi Hà Giang tháng 3 không,ask_weather_timing,0.95
Có nên đi Hà Giang tháng 3 không,ask_weather_timing,0.95
Có nên đi Hà Giang tháng 3 không,ask_weather_timing,0.95
Có nên đi Hà Giang tháng 3 không,ask_weather_timing,0.95
Homestay ở Hà Giang view đẹp,search_accommodation,0.95
Homestay ở Hà Giang view đẹp,search_accommodation,0.95
Homestay ở Hà Giang view đẹp,search_accommodation,0.95
Homestay ở Hà Giang view đẹp,search_accommodation,0.95
Tour Hà Giang 4 ngày 3 đêm,search_travel,0.95
Tour Hà Giang 4 ngày 3 đêm,search_travel,0.95
Tour Hà Giang 4 ngày 3 đêm,search_travel,0.95
Tour Hà Giang 4 ngày 3 đêm,search_travel,0.95
Giá thuê xe máy đi Hà Giang,search_price,0.95
Giá thuê xe máy đi Hà Giang,search_price,0.95
Giá thuê xe máy đi Hà Giang,search_price,0.95
Ăn gì ở Hà Giang,search_food_dining,0.95
Ăn gì ở Hà Giang,search_food_dining,0.95
Ăn gì ở Hà Giang,search_food_dining,0.95
Đi Hà Giang từ Hà Nội bằng gì,ask_transportation,0.95
Đi Hà Giang từ Hà Nội bằng gì,ask_transportation,0.95
Đi Hà Giang từ Hà Nội bằng gì,ask_transportation,0.95
Đi Hà Giang ở đâu chơi đẹp,search_destination,0.95
Đi Hà Giang ở đâu chơi đẹp,search_destination,0.95
Có nên đi Hà Giang tháng 3 không,ask_weather_timing,0.95
Có nên đi Hà Giang tháng 3 không,ask_weather_timing,0.95
Homestay ở Hà Giang view đẹp,search_accommodation,0.95
Homestay ở Hà Giang view đẹp,search_accommodation,0.95
Tour Hà Giang 4 ngày 3 đêm,search_travel,0.95
Giá thuê xe máy đi Hà Giang,search_price,0.95
Tour du lịch Đà Lạt 3 ngày 2 đêm,search_travel,0.95
Ở đâu chơi ở Đà Lạt,search_destination,0.95
Khách sạn gần biển Nha Trang,search_accommodation,0.95
Tour lặn biển ở Nha Trang,search_activity,0.95
Vé máy bay đi Phú Quốc giá rẻ,ask_transportation,0.95
Resort view biển ở Phú Quốc,search_accommodation,0.95
Homestay view núi ở Sa Pa,search_accommodation,0.95
Đi Sa Pa ngắm tuyết,search_activity,0.95
Resort view biển ở Đà Nẵng,search_accommodation,0.95
Đi Đà Nẵng ăn gì,search_food_dining,0.95
Nhà nghỉ ở Vũng Tàu giá rẻ,search_accommodation,0.95
Hải sản ở Vũng Tàu,search_food_dining,0.95
Khách sạn ở Hà Nội trung tâm,search_accommodation,0.95
Ẩm thực Hà Nội món gì ngon,search_food_dining,0.95
Homestay ở Hội An giá rẻ,search_accommodation,0.95
Đi Huế chơi gì,search_destination,0.95
Mũi Né có gì đẹp,search_destination,0.95
Resort Mũi Né view biển,search_accommodation,0.95
Đi Nha Trang tháng 7,search_destination,0.95
Phố cổ Hội An về đêm,search_destination,0.95
Ẩm thực Huế món gì,search_food_dining,0.95
Đi Mũi Né chơi gì,search_activity,0.95
Hải sản ở Vũng Tàu,search_food_dining,0.95
Khách sạn ở Hà Nội trung tâm,search_accommodation,0.95
Đi Đà Nẵng tháng 6 có mưa không,ask_weather_timing,0.95
